Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	3'UTR	Splice_Region	5'UTR	total	Amp	Del	CNV_total	MutatedSamples	AlteredSamples
TP53	0	0	1	0	1	24	1	0	0	1	0	28	0	0	0	22	22
PIK3CA	0	0	0	0	2	4	0	0	1	0	0	7	0	0	0	7	7
ACVR1	0	1	0	0	0	5	0	0	0	0	0	6	0	0	0	6	6
ATRX	0	1	1	0	0	2	2	0	0	0	0	6	0	1	1	6	7
PPM1D	0	0	0	1	0	0	4	0	0	0	0	5	0	0	0	5	5
PTEN	0	0	1	0	0	0	2	1	0	0	0	4	0	0	0	4	4
TOP2A	0	0	0	0	0	1	0	3	0	0	0	4	0	0	0	2	2
NTRK3	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	2
SLCO1B3	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
BRAF	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1
AKT1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1
ALK	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
ASXL1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
AURKB	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1
CDK4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1
CDKN1C	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CDKN2B	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CIC	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
FOSB	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
FYN	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
MAFK	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2
MDM2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
MTOR	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
MYC	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
NFIB	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
NRAS	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	2
NTRK2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
PIK3C2B	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
PIK3C2G	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
PIK3R1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
PTPN11	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
SETD2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
TERT	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2
VEGFA	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
CCND2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
CDKN2C	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
EGFR	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
ID3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
IGF1R	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
KDR	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
KIT	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3
MET	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3
PDGFA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
PDGFRA	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3
TOP3A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
